Questions,Answers
What is Compensatory Off   ?,"• Compensatory off is permitted to employees who are authorized to work on a holiday or on a weekly off by the 
respective department heads/Manager’s for exigencies of work. 
• An employee can also avail comp off first and work on a later date subject to business requirement based on the 
approval of the HOD. 
• Compensatory off to be availed within 90 days of such extra work and accumulation of Compensatory off for 
more than 90 days is not permitted i.e. the same will get lapsed. 
• Compensatory Off has to be applied and approve only through HR System. 
• Employees till Band (Grade), is eligible for Compensatory off "
What is Bereavement Leave (BL)    ?,"The Bereavement Leave Policy establishes uniform guidelines for providing paid time off to employees to be with 
their families in times of personal loss or grieving. Bereavement leave is granted for making funeral arrangements, 
attending the funeral and burial, paying respects to the family, dealing with the deceased’s possessions and will, 
and any ancillary matters that employees must address when a loved one / immediate family member dies."
Detailed inforamtion of Bereavement Leave (BL)   ?,"• Employees are allowed up to three consecutive days off (excluding weekly off / holidays) from regular scheduled 
duty with regular pay in the event of the death of the employee’s spouse, child, father, father-in-law, mother, 
mother-in-law, son-in-law, daughter-in-law, brother, sister. To be eligible for paid bereavement leave, the 
employee generally must attend the funeral of the deceased relative. Classroom trainees will be eligible for only 
1 day paid off.
• Employees are allowed one day off from regular scheduled duty with regular pay in the event of death of the 
employee’s, brother-in-law, sister-in-law, grandparent, grandchild or spouse’s grandparent. To be eligible for paid 
bereavement leave, the employee generally must attend the funeral of the deceased relative. 
(Note: Any relative other than mentioned may be considered upon evaluation of Management referencing the PreEmployment Application Form or Employee Family Status Update Form submitted to the HR Department.) 
• In case of more than one (1) death at the same time, Bereavement Leave benefit shall be treated as one and not 
extended for each member separately. 
• This benefit is forfeited if not availed within fifteen (15) days from the date of death. This is noncumulative and 
non-commutable to cash. 
• In case additional time off required, Bereavement Leave can be clubbed with another type of leave ie CL/PL or 
Loss of pay based on the approval from the reporting manager"
What is the procedures for taking leave ?,"• An employee who wishes to take time off due to the death of an immediate family member should notify his or 
her supervisor immediately. 
• Bereavement leave will normally be granted unless there are unusual business needs or staffing requirements.
• Employee may apply for bereavement leave upon returning to work. However, prior notification and approval 
from the immediate superior must be made. 
• Employee’s supervisor should notify the same to HR team for attendance monitoring purpose & crediting the 
applicable no. of leaves along with the following details: nature of the leave, reason/other information supporting 
the said leave, date/s leave to be taken and date reporting back for work. 
• A death certificate / relevant proof from the hospital must be submitted as support to avail this benefit. However, 
respective head of the department / BU may approve for crediting leaves based on the instance of personal visit 
by the supervisors/ HR/colleagues to the hospital / home/ funeral site etc. 
• HR may also demand for other pertinent documents such as Birth Certificate or Marriage Contract to prove 
affiliation to the deceased etc on a case to case basis before crediting bereavement leave. If not applicable, HR 
shall refer to the employee’s personal records for consideration.
• Upon notification / request by the supervisor, HR team shall also apply leave on behalf of employees during the 
attendance cycle closure dates to avoid LOP after validating the supporting documents. Prior to attendance closure 
dates, employee can apply and get it regularized on returning to work. (HR team to use their discretion and decide 
on whether HR to apply leave on employee’s behalf / employee can apply on reporting back depending on the 
dates)."
is compensation avaliable in our office ?,"The compensation policy is applicable to all employees. 

The management believes in having a transparent policy & a simple procedure to administer the above policy. 
With the above objectives the breakup of the compensation has been made keeping in mind the standard of living 
expected by the professionals, their social security needs, health benefit needs and their educational / learning 
needs"
what are compensation given to the employees ?,"Break-up of Compensation is divided into sub components, like Basic Pay, Flexible Benefit Plan and Statutory
Bonus. 
1) Basic Pay 
2) House Rent Allowance 
3) Flexible Benefit Plan
	3a) Food Voucher/Card 
	3b) Vehicle Maintenance and Driver Charges 
	3c) Special Allowance 
4) Monthly Statutory Bonus "
what is basic pay?,"Basic Pay is paid as a significant component of the overall compensation which has a direct bearing on the 
employee’s retirement benefits."
Does basic pay applicable !,"Yes, Basic Pay is applicable to all employees."
What are the guidelines for basic pay ?,"• Basic pay is the minimum wages as per State slab OR approximately 50% of the CTC whichever is high. It 
usually depends on the terms agreed, while designing the compensation package. 
• This is taken as a base for the calculations of Provident Fund, Gratuity, leave encashment etc. 
• Basic pay is payable on a monthly basis. 
• Basic pay is paid to the number of days one is present during a calendar month subject to credits availed on 
account of eligible leaves. 
• This is paid for all paid leaves / holidays / weekly offs."
what is House rent allowance?,"House Rent Allowance is paid so that the accommodation need of an employee is taken care of in accordance to 
their grades/positions. "
Does house rent allowance applicable !,This allowance is applicable to all employees depending on the salary. 
What are the guidelines for house rent allowance ?,"• HRA exemption amount will be as per employee’s declaration. (Rent declared by employee) 
• The maximum tax exemption limit allowed for HRA is, 40% of Basic pay in Non-Metros and 50% of Basic pay 
in Metros. 
• HRA is Payable on a monthly basis. 
• This is paid for all paid leaves / holidays / weekly offs."
What are the Flexible benefit plans?,"
(A) FOOD VOUCHER / CARD 
(B) VEHICLE MAINTENANCE & DRIVER’S SALARY REIMBURSEMENT
(C) SPECIAL ALLOWANCE"
what is food voucher/ card ?,To provide employees with the facility of availing food items. Employee may declare Rs 3500 or Rs.2000 per month towards food voucher/card. Any service charge applicable will be paid by the company.  Coupons / Food Card shall be provided to employees before 7 th of every month after the payroll. 
who are eligible for food voucher / card?,"This benefit is applicable to all employees in all bands for whom the annual CTC is above Rs.3,00,000. s"
what is VEHICLE MAINTENANCE & DRIVER’S SALARY REIMBURSEMENT ?,To ensure comfort of travel for employees for official and personal use. 
who are eligible for VEHICLE MAINTENANCE & DRIVER’S SALARY REIMBURSEMENT ?,This is applicable to all employees who fall under the grade of and above.
What is special allowance ? ,"Special Allowance is part of your overall compensation as determined by the company after considering all the 
benefits provided in this policy document. "
Who are eligible for special allowance ?,This allowance is applicable to all employees.
who are eligible for monthly statutory bonus ?,Will be paid to all employees as detailed in The Payment of Bonus Act. 
What is sexual harrassment?,"""Sexual Harassment"", as is provided in the Supreme Court Judgment, includes any unwelcome sexually 
determined behaviour, direct or by implication, and includes physical contact and advances, a demand or request 
for sexual favours, sexually coloured remarks, showing pornography, any other unwelcome physical, verbal or 
non verbal conduct of a sexual nature. "
What are included in sexual harrassment ? ,"Explanation: ""Sexual Harassment"" shall include, but will not be confined to the following:
a) When submission to unwelcome sexual advances, requests for sexual favours, and verbal or physical 
conduct of a sexual nature are made, either explicitly or implicitly, a term or condition of instruction, 
employment, participation or evaluation of a person’s engagement in company activity. 
b) When unwelcome sexual advances and verbal, non-verbal, or physical conduct such as loaded comments, 
remarks or jokes, letters, phone calls or e- mail, gestures, showing of pornography, lurid stares, physical 
contact or molestation, stalking, sounds or display of a derogatory nature have the purpose or effect of 
interfering with an individual’s performance or of creating an intimidating, hostile or offensive company 
environment; 
c) When any form of sexual assault is committed where a person uses, the body or any part of it or any 
object as an extension of the body in relation to another person without the latter’s consent or against 
that person’s will."
What are the steps taken to prevent sexual harrassment in mthe work place ?,"Must be undertaken by employers or other responsible authorities in public or private sectors as follows:
a) Express prohibition of sexual harassment should be notified and circulated.
b) Prohibition of sexual harassment should be included in the rules and regulations of government and 
public sector bodies.
c) Private employers should include prohibition of sexual harassment in the standing orders under the 
Industrial Employment (Standing Orders) Act, 1946 / Company’s Code of Conduct.
d) Appropriate work conditions should be provided for work, leisure, health, and hygiene to further ensure 
that there is no hostile environment towards women at workplaces and no woman employee should have 
reasonable grounds to believe that she is disadvantaged in connection with her employment."
How we deals when someone sexually harrassed?,"a) Any woman employee will have a right to lodge a complaint concerning sexual harassment against a 
male employee or an outsider with any of the members of the Complaints Committee. 
b) Such a complaint may be oral or in writing. 
c) If the Complaint is oral, the committee member to whom the complaint is made shall reduce the same in 
writing in detail. 
d) The Complainant will be afforded full confidentiality at this stage. 
e) Immediately upon receipt of the Complaint, and within not more than 2 working days, the member of 
the Committee to whom the Complaint is made shall communicate the same to the Chairperson of the 
Complaints Committee. However, if the Complainant so desires, her name shall be kept confidential and 
will not be divulged even to the Complaints Committee.
f) Within a period of 5 working days from the date of such communication, the Chairperson shall convene 
a meeting of the Complaints Committee. 
g) At this meeting, the Complaints Committee shall nominate three persons from amongst themselves 
(known as the Enquiry Committee) for proceeding with the Complaint. 
h) At least two of these persons so nominated will be women. 
i) No person against whom a Complaint is made shall be part of the Enquiry Committee."
What is the protection given to victim?,"a) In the event of the complainant being a Subordinate and the accused being the Boss, during the pendency 
of the investigation and enquiry and even after such an enquiry if the Boss is found to be guilty, the 
accused will not act as an appraiser for evaluating the performance of the Subordinate.
b) In the event of the Complainant and the accused both being employees, during the pendency of the 
investigation and enquiry and even after such an enquiry if the accused is found to be guilty, the accused 
shall not write the Confidential Reports of the complainant, if he is otherwise so authorized. 
c) If the Accused is an outsider, during the pendency of the investigation and enquiry and even thereafter, 
if he is found to be guilty, the accused shall not be allowed to enter the company premises except for the 
purpose of attending the present enquiry."
How can I separate from my job?,"Resignation: Voluntary separation of employee by raising separation request in HR System
Termination: Involuntary separation initiated by the Company for various reasons like misconduct, theft, 
violation of policies, PIP negative closure etc 
Voluntary abandonment of service (FLA/VAS): Where an employee remains absent from work without prior 
permission. 
Retirement: Separation on the employee completing 58 years of age. The date of retirement shall be the last 
working day of the month in which the employee completes 58 years of age."
What are the separation policy for resignation ?,"• Employee has an option to withdraw resignation till his LWD, 
• Acceptance of an employee’s request for withdrawal of resignation shall be at the sole discretion of the 
Dept / Functional Head. 
• On last working day , HR will initiate the clearance checklist for resigned employee 
• If employee resigns post Maternity leave, she has an option to get relieving letter after clearing any dues 
& notice pay. 
• However, due to any circumstances, if employees choose not to serve notice period after submitting 
resignation, company reserves the right to issue relieving letter.
• No compensation or payment in lieu of Notice Pay shall be payable in the case of termination from 
service. 
• HR will Issue relieving letter to the employee on last working day if employee completes clearance 
formalities by 6pm, else on next working day "
How i get my final settlement after relieve from my job?,"• Payment due as salary till last working day. 
• Payment due on account of encashment of PL balance 
• Recovery for -Statutory dues, Company dues, Loans & Advances, if any. 
• Training Cost &Short notice Recovery – wherever applicable. 
• Full and final settlement amount will be credited to the employee’s salary account. Under no 
circumstances, F&F settlement will be paid in cash. 
• In the normal course, the full and final settlement will be processed within 30 working days of the 
employee completing the exit formalities. "
